BaseImageName,TotalVul,critical,high,medium,low,unknown
buildpack-deps:latest.json,1362,1,123,208,1023,7
telegraf:1.16.2.json,161,0,28,28,105,0
perl:5.32.0.json,1362,1,123,208,1023,7
nextcloud:20.0.2.json,682,1,87,75,512,7
memcached:1.6.9.json,88,0,16,7,65,0
wordpress:5.5.3.json,683,2,84,75,515,7
maven:3.6.3.json,0,0,0,0,0,0
jruby:9.1.17.0.json,266,0,46,44,169,7
gcc:10.2.json,1362,1,123,208,1023,7
chronograf:1.8.8.json,230,13,38,27,152,0
bash:5.0.json,2,0,0,0,0,2
registry:2.7.1.json,2,0,0,0,0,2
mediawiki:1.33.0.json,1366,33,287,287,749,10
nginx:1.18.0.json,149,1,24,12,112,0
traefik:2.3.4.json,2,0,0,0,0,2
mariadb:10.5.8.json,29,0,0,4,25,0
logstash:7.4.0.json,944,1,47,432,464,0
odoo:14.json,286,1,47,26,212,0
erlang:23.1.json,1388,2,130,208,1041,7
xwiki:12.1.json,323,0,1,82,240,0
elixir:1.11.2.json,1388,2,130,208,1041,7
python:3.9.0.json,1386,1,125,208,1045,7
adminer:4.7.7.json,1,0,0,0,0,1
arangodb:3.7.json,2,0,0,0,0,2
ghost:3.0.json,273,17,62,38,156,0
caddy:2.2.1.json,2,0,0,0,0,2
couchbase:6.6.0.json,137,0,0,9,128,0
ruby:2.7.2.json,1362,1,123,208,1023,7
oraclelinux:8.3.json,0,0,0,0,0,0
php:8.0.0.json,478,1,81,45,344,7
openjdk:15.0.1.json,0,0,0,0,0,0
debian:10.6.json,88,0,16,8,64,0
redmine:4.1.1.json,575,2,59,98,409,7
httpd:2.4.46.json,124,0,26,10,88,0
couchdb:3.1.1.json,150,0,28,19,103,0
cassandra:3.11.9.json,28,0,0,3,25,0
haproxy:2.3.json,92,0,19,8,65,0
groovy:3.0.6.json,47,0,0,13,34,0
zookeeper:3.6.2.json,126,0,23,15,88,0
eclipse-mosquitto:1.6.12.json,2,0,0,0,0,2
rust:1.48.0.json,1362,1,123,208,1023,7
rethinkdb:2.4.1.json,148,0,28,17,103,0
kong:2.2.0.json,2,0,0,0,0,2
vault:1.6.0.json,2,0,0,0,0,2
neo4j:4.2.1.json,100,0,18,7,75,0
mysql:8.0.22.json,129,0,22,15,92,0
haxe:4.1.4.json,228,1,28,45,154,0
jetty:9.4.31.json,38,0,21,16,1,0
mongo:4.4.json,81,0,0,19,62,0
znc:1.8.2.json,3,0,0,0,0,3
crate:4.3.2.json,621,0,3,253,365,0
teamspeak:3.13.2.json,2,0,0,0,0,2
drupal:9.0.9.json,524,1,85,45,386,7
rabbitmq:3.8.9.json,44,0,0,6,38,0
tomcat:10.0.0.json,202,1,28,22,151,0
consul:1.9.0.json,1,0,0,0,0,1
redis:6.0.9.json,88,0,16,7,65,0
swift:5.3.1.json,167,0,0,46,121,0
node:14.15.1.json,2964,25,128,254,2551,6
flink:1.11.2.json,161,0,34,21,106,0
alpine:3.12.0.json,2,0,0,0,0,2
postgres:12.5.json,183,1,35,20,127,0
percona:8.0.21-12.json,218,0,2,135,81,0
solr:8.7.0.json,154,0,28,20,106,0
